75,12498
74,26394
73,28502
72,31574
71,37038
69,37296
68,39984
56,83049
28,2903
26,8316
25,13209
18,17986
9,126854
11,53957
33,6915
31,7285
30,7740
8,188699
19,15495
20,15815
21,14631
22,16451
23,13832
24,12273
27,6156
2,5373
15,207502
42,85082
10,52386
100,37404
106,49344
87,20279
86,11897
85,12009
105,3811
104,7106
103,8527
102,11987
101,10995
60,14956
61,11137
62,10330
63,8996
64,8273
65,6918
54,31046
55,39257
58,28386
59,24094
83,21621
114,28408
115,29227
107,45528
108,47658
109,41253
110,36894
111,31870
112,34969
113,33221
116,25162
117,21964
84,12427
70,9716
43,4694
41,39338
40,42740
34,6833
12,18377
13,18620
14,20094
67,3270
66,5847
138,937
137,1411
136,2418
135,3026
134,3337
132,3993
130,4303
129,4511
127,4929
126,3499
124,6536
123,6964
118,19104
99,1242
98,1594
97,1991
96,2450
95,3027
94,3643
93,4100
50,2140
49,2419
48,2779
47,3187
46,3537
45,4014
44,4656
39,1687
38,2447
37,2789
36,3784
35,4603
119,9162
120,7317
121,6514
122,6274
237,1514
214,1064
184,173
183,419
225,401
226,358
16,353
215,307
187,328
92,1012
91,593
90,454
89,560
88,576
17,814
81,136
80,166
79,206
78,294
77,261
53,1051
51,1677
1,724
125,309
133,202
32,31
217,24
211,148
148,95
220,359
152,377
179,177
29,321
82,101
165,141
205,309
213,334
153,70
202,57
193,55
241,87
175,64
195,48
171,43
131,85
52,33
182,22
185,15
76,13
216,3
142,5
219,5
180,105
162,69
155,82
198,31
140,30
163,38
204,40
157,38
141,12
4,15
191,20
233,20
149,44
164,35
154,6
128,1
188,1
